Customer_ID,First Name,Last Name,Gender,Age,Job Role,Phone,Email,City,State,Region
CU0001,Jill,Snyder,Male,49,Network Engineer,1-202-347-6622,timothy92@yahoo.com,Oakterrace,Alabama,South
CU0002,Nicholas,Foster,Male,23,Librarian,1-752-982-6354,cochrancarlos@berry.info,West Clearterrace,Alaska,West
CU0003,Courtney,Robbins,Male,60,Surgeon,1-774-292-7255,donna01@yahoo.com,Mount Shorecreek,Arizona,West
CU0004,Blake,Barry,Male,67,Inventory Manager,1-553-463-9137,sandra08@yahoo.com,North Shoreheights,Arkansas,South
CU0005,Claudia,Hardin,Female,31,Librarian,1-218-426-3548,caitlindavis@bradley.org,Saint Oakestates,California,West
CU0006,Scott,Wilson,Female,52,Occupational Therapist,1-536-274-8162,pamela97@smith.net,Mount Lakeviewgrove,Colorado,West
CU0007,Michael,Johnson,Male,58,Ui/Ux Designer,1-685-543-5045,rjones@bates.com,New Springview,Connecticut,Northeast
CU0008,Michelle,Davis,Female,28,Machine Operator,1-753-971-2385,dwilson@schmidt-carter.com,Sunsetridge,Delaware,South
CU0009,Sara,Mack,Male,29,Project Coordinator,1-805-949-7878,ybailey@yahoo.com,Port Glenmouth,Florida,South
CU0010,Ashley,Butler,Female,30,Process Engineer,1-460-414-2741,williamestes@gmail.com,Port Lakesideprairie,Georgia,South
CU0011,Charles,Sullivan,Male,65,Welder,1-313-561-6997,fward@pierce.com,North Copperstation,Hawaii,West
CU0012,Tiffany,Thompson,Male,30,Network Engineer,1-449-893-3505,lindseychad@mckinney-cole.com,Lake Rockestates,Idaho,West
CU0013,Juan,Blackwell,Male,23,Financial Analyst,1-789-938-5044,dguerrero@gmail.com,Saint Redwoodriver,Illinois,Midwest
CU0014,Todd,Taylor,Female,53,Anesthesiologist,1-794-921-4247,rodriguezangela@mills-navarro.net,South Pinepeaks,Indiana,Midwest
CU0015,Brooke,Bennett,Male,23,Cnc Machinist,1-809-903-5692,marvin28@hotmail.com,New Rockgrove,Iowa,Midwest
CU0016,Bobby,Rodriguez,Female,68,Process Engineer,1-582-511-7353,torresallen@evans.org,Whisperridge,Kansas,Midwest
CU0017,Patricia,French,Female,60,Academic Advisor,1-730-892-8423,sheila92@gmail.com,Port Brighthills,Kentucky,South
CU0018,Nancy,Reed,Male,25,Accountant,1-293-343-1912,jenningsfelicia@hotmail.com,New Grandestates,Louisiana,South
CU0019,Timothy,Valenzuela,Female,42,Software Engineer,1-232-732-4051,jenkinsmicheal@hotmail.com,Sapphirepines,Maine,Northeast
CU0020,Gregory,Carter,Male,35,Stock Clerk,1-416-489-8167,clayamanda@evans.com,West Brightcorner,Maryland,South
CU0021,Diane,Glenn,Male,32,Surgeon,1-558-690-7787,bergrenee@lamb.com,Mount Ridgeestates,Massachusetts,Northeast
CU0022,Jasmine,Dixon,Male,58,Plant Manager,1-611-718-9497,sjefferson@gmail.com,North Summitcity,Michigan,Midwest
CU0023,Anna,Reynolds,Female,25,Solutions Architect,1-984-874-3630,emilyfry@yahoo.com,Havenridge,Minnesota,Midwest
CU0024,Timothy,Delgado,Female,56,Data Scientist,1-219-340-5091,robertdouglas@gmail.com,Saint Sierraheights,Mississippi,South
CU0025,Troy,Hernandez,Male,52,Production Supervisor,1-220-749-8909,maynardrhonda@gmail.com,Riveraoaks,Missouri,Midwest
CU0026,Haley,Miller,Female,31,Personal Shopper,1-576-718-2863,fosterbrianna@gmail.com,New Clearplains,Montana,West
CU0027,Patricia,Armstrong,Male,63,Physical Therapist,1-838-861-7784,watsonkatherine@gmail.com,Thundermeadows,Nebraska,Midwest
CU0028,Tanya,Mcdowell,Male,19,It Support Specialist,1-388-327-3756,ysmith@yahoo.com,Riversidecreek,Nevada,West
CU0029,Adrienne,Mccoy,Male,30,Pharmacist,1-728-576-6499,gentryfrank@santos-kemp.com,West Clearmeadows,New Hampshire,Northeast
CU0030,Henry,Chan,Female,64,Dermatologist,1-690-858-7192,crystal72@reese-ware.info,North Parkford,New Jersey,Northeast
CU0031,Michael,Sandoval,Female,60,Psychologist,1-799-594-3460,sandra09@jones.com,Longwoods,New Mexico,West
CU0032,Laura,Jones,Male,34,Ai Specialist,1-843-696-2525,tonypotter@brown-flores.biz,Lake Whisperprairie,New York,Northeast
CU0033,Nicole,Hurst,Male,64,Training Specialist,1-278-817-6855,nicholsonelizabeth@gmail.com,Clearwatermeadows,North Carolina,South
CU0034,Matthew,Mora,Female,35,Shift Supervisor,1-459-662-1420,kimberly44@yahoo.com,Fairestates,North Dakota,Midwest
CU0035,Gregory,Johnson,Female,31,Legal Assistant,1-415-441-8228,perezmaria@perez-thompson.net,Longstation,Ohio,Midwest
CU0036,Joshua,Lewis,Male,65,Special Education Teacher,1-618-790-4685,bartonreginald@martin-white.com,Onyxcrossing,Oklahoma,South
CU0037,Charles,Jenkins,Male,37,Hr Manager,1-345-876-6005,baldwinjose@collins.com,Lake Brightcorner,Oregon,West
CU0038,Margaret,Lyons,Female,39,Ui/Ux Designer,1-608-689-3947,morrisantonio@hotmail.com,New Falconside,Pennsylvania,Northeast
CU0039,John,Blackwell,Female,70,Education Consultant,1-846-662-1021,terryjoe@smith.net,South Pearljunction,Rhode Island,Northeast
CU0040,Johnny,Petersen,Male,57,Welder,1-925-966-2574,martinezjason@wilson-lyons.net,Falconprairie,South Carolina,South
CU0041,Andrew,Dawson,Female,59,Business Analyst,1-226-458-5620,glove@ballard.com,Port Brightstation,South Dakota,Midwest
CU0042,Christopher,Smith,Male,45,Attorney,1-855-372-6068,jennifer60@jones.com,Clearwatertown,Tennessee,South
CU0043,Michelle,Johnson,Male,70,Compliance Officer,1-801-970-6399,melissaroman@hotmail.com,Fort Greenfield,Texas,South
CU0044,Tiffany,James,Male,66,Operations Analyst,1-651-909-7163,emily63@hotmail.com,Cottonplains,Utah,West
CU0045,Robert,Boyd,Male,36,Production Supervisor,1-548-540-6489,lauren51@farmer-greene.info,Saint Rockmouth,Vermont,Northeast
CU0046,Ashley,Roy,Female,42,Cybersecurity Analyst,1-453-648-6156,jbutler@hotmail.com,Hillstation,Virginia,South
CU0047,Cynthia,Estes,Female,67,Sales Associate,1-264-613-5280,ineal@gmail.com,Woodpeaks,Washington,West
