Sale_ID,Customer_ID,Car_ID,Sale_Date,Quantity,Sale_Price,Payment_Method,Salesperson,Brand,Model,Year,Color,Engine_Type,Transmission,Price,Quantity_In_Stock,Status,First Name,Last Name,Gender,Age,Job Role,Phone,Email,City,State,Region,Sale_Date_Parsed,Month,DayOfWeek,Sale_Year
S00001,CU1241,C0214,2025-03-28,3,73293.19,Installment,Ashley Ramos,Toyota,RAV4,2023,Black,Diesel,Automatic,64961.25,6,Sold,Valerie,Harris,Female,70,Lab Instructor,1-275-684-3835,owenslisa@gmail.com,New Cedarmeadows,South Dakota,Midwest,2025-03-28,3,5,2025
S00002,CU0100,C0202,2024-02-12,3,32681.2,Cash,Pamela Blair,Mercedes,C-Class,2018,Blue,Diesel,Automatic,35182.93,8,Sold,Morgan,Bowman,Female,42,Stock Clerk,1-376-214-6157,bbond@yahoo.com,East Ivorymeadows,Wyoming,West,2024-02-12,2,1,2024
S00003,CU1690,C0228,2023-02-26,2,53530.92,Credit,Sergio Lee,Toyota,Corolla,2021,Gray,Petrol,Manual,80597.19,0,Sold,Marc,Meza,Female,61,Qa Engineer,1-339-814-2246,swatkins@gmail.com,Port Blueprairie,South Carolina,South,2023-02-26,2,7,2023
S00004,CU0534,C0231,2024-06-21,1,89816.61,Cash,Mary Johnston,Toyota,Camry,2024,White,Petrol,Manual,41318.81,17,Available,Deborah,Wilcox,Female,44,Network Engineer,1-537-902-1997,rvasquez@cook.info,Riversideview,North Dakota,Midwest,2024-06-21,6,5,2024
S00005,CU1153,C0071,2023-12-21,2,77590.86,Installment,Ricardo Garcia,Kia,Seltos,2017,Black,Electric,Automatic,53635.55,4,Available,Jacqueline,Wood,Female,26,Devops Engineer,1-956-638-5092,roy31@gmail.com,Longfalls,Arizona,West,2023-12-21,12,4,2023
S00006,CU0878,C0319,2025-06-26,2,79567.24,Cash,Chelsea Gonzalez,Mercedes,C-Class,2023,Silver,Diesel,Automatic,52256.29,15,Available,Kathleen,Cochran,Female,68,Financial Analyst,1-365-627-8605,katrinadelacruz@sparks.com,West Riversidedale,Nevada,West,2025-06-26,6,4,2025
S00007,CU1113,C0102,2025-07-08,2,65470.0,Credit,Carol Lopez,Toyota,Camry,2018,Red,Hybrid,Automatic,95035.77,10,Sold,Gary,Adams,Female,45,Cost Analyst,1-319-271-8785,kevinjackson@hotmail.com,Lake Auroracommons,Illinois,Midwest,2025-07-08,7,2,2025
S00008,CU1144,C0041,2025-02-16,3,98436.54,Cash,Alexa Edwards,Nissan,Qashqai,2015,Blue,Hybrid,Manual,48152.43,15,Sold,Jeff,Carter,Female,70,Bookkeeper,1-767-865-8048,michael74@gmail.com,Saint Riveracreek,Utah,West,2025-02-16,2,7,2025
S00009,CU0134,C0191,2024-12-26,1,79282.57,Installment,Joe Goodwin,Nissan,Qashqai,2025,Gray,Petrol,Manual,42582.85,4,Available,Colleen,Gardner,Male,64,Logistics Coordinator,1-204-703-7215,moorekenneth@norris-foster.biz,Lake Bridgewaterterrace,North Dakota,Midwest,2024-12-26,12,4,2024
S00010,CU1380,C0413,2025-02-01,3,59004.55,Installment,Chase Harrison,Kia,Seltos,2021,Silver,Petrol,Manual,95358.71,4,Reserved,Andrew,Brown,Male,33,Medical Assistant,1-577-301-7162,john05@castaneda.org,Mount Shorepark,New Jersey,Northeast,2025-02-01,2,6,2025
